日期,管制站,入境 / 出境,香港居民,内地访客,其他访客,总计
2019-09-28,港口管制,出境,2,0,29,31
2019-09-28,启德邮轮码头,入境,951,524,58,1533
2019-09-28,启德邮轮码头,出境,983,394,34,1411
2019-09-28,港澳客轮码头,入境,8497,504,2079,11080
2019-09-28,港澳客轮码头,出境,13343,554,1938,15835
2019-09-28,屯门客运码头,入境,619,10,25,654
2019-09-28,屯门客运码头,出境,880,14,19,913
2019-09-29,机场,入境,34954,7386,8907,51247
2019-09-29,机场,出境,27268,13238,16694,57200
2019-09-29,高铁西九龙,入境,9992,7110,999,18101
2019-09-29,高铁西九龙,出境,6630,4999,398,12027
2019-09-29,红磡,入境,1440,820,174,2434
2019-09-29,红磡,出境,772,360,90,1222
2019-09-29,罗湖,入境,95657,18237,1078,114972
2019-09-29,罗湖,出境,73850,18287,765,92902
2019-09-29,落马洲支线,入境,51058,16268,526,67852
2019-09-29,落马洲支线,出境,38219,13925,286,52430
2019-09-29,港珠澳大桥,入境,22483,2501,2507,27491
