date,CN_airport_entry,global_airport_entry,CN_airport_departure,global_airport_departure
2021-07-26,1,8,7,8
2021-07-27,8,16,18,14
2021-07-28,17,12,10,23
2021-07-29,23,21,27,16
2021-07-30,17,23,17,36
2021-07-31,22,9,23,30
2021-08-01,22,20,25,29
2021-08-02,14,15,11,22
2021-08-03,5,20,8,24
2021-08-04,12,7,10,15
2021-08-05,9,17,22,22
2021-08-06,17,21,30,24
2021-08-07,14,18,22,19
2021-08-08,18,19,18,29
2021-08-09,13,29,7,17
2021-08-10,16,44,13,41
2021-08-11,12,22,12,20
2021-08-12,11,25,18,24
2021-08-13,6,28,19,31
2021-08-14,5,30,36,18
2021-08-15,21,25,19,25
2021-08-16,16,18,15,18
2021-08-17,13,27,5,42
2021-08-18,19,56,9,20
2021-08-19,13,83,19,25
2021-08-20,14,45,12,53
2021-08-21,15,22,32,19
2021-08-22,8,28,10,21
2021-08-23,6,23,8,27
2021-08-24,5,20,17,31
2021-08-25,16,30,13,25
2021-08-26,17,21,14,25
2021-08-27,11,37,23,31
2021-08-28,16,35,26,21
2021-08-29,5,29,7,32
2021-08-30,8,20,15,30
2021-08-31,9,41,28,32
2021-09-01,15,21,13,40
2021-09-02,8,36,15,29
2021-09-03,4,38,6,40
2021-09-04,13,36,32,19
2021-09-05,9,34,21,37
2021-09-06,3,21,20,21
2021-09-07,10,31,19,38
2021-09-08,9,32,11,34
2021-09-09,6,45,21,23
2021-09-10,8,60,12,49
2021-09-11,13,32,27,29
2021-09-12,7,37,18,44
2021-09-13,5,27,1,22
2021-09-14,8,42,17,50
2021-09-15,4,28,25,36
2021-09-16,12,34,14,33
2021-09-17,8,22,12,46
2021-09-18,17,35,30,34
2021-09-19,9,24,28,33
2021-09-20,14,16,26,25
2021-09-21,3,31,24,33
2021-09-22,14,34,26,39
2021-09-23,9,32,38,38
2021-09-24,6,39,55,55
2021-09-25,24,16,41,39
2021-09-26,15,33,67,40
2021-09-27,9,21,25,21
2021-09-28,6,37,38,50
2021-09-29,13,30,54,40
2021-09-30,15,40,30,36
2021-10-01,8,35,27,49
2021-10-02,13,49,40,24
2021-10-03,6,36,41,45
2021-10-04,10,27,18,24
2021-10-05,3,24,5,25
2021-10-06,8,32,39,39
2021-10-07,2,30,25,23
2021-10-08,13,37,37,45
2021-10-09,9,35,76,37
2021-10-10,10,65,40,49
2021-10-11,3,25,22,20
2021-10-12,5,19,48,18
2021-10-13,6,40,142,48
2021-10-14,12,63,33,40
2021-10-15,6,34,23,30
2021-10-16,10,43,29,26
2021-10-17,17,55,45,54
2021-10-18,5,31,6,18
2021-10-19,3,22,9,36
2021-10-20,8,48,36,39
2021-10-21,5,24,18,33
2021-10-22,5,43,23,22
2021-10-23,14,45,20,26
2021-10-24,7,55,20,55
2021-10-25,20,45,12,28
2021-10-26,3,26,31,38
2021-10-27,12,46,26,40
2021-10-28,9,35,7,26
2021-10-29,8,39,19,58
2021-10-30,8,38,7,35
2021-10-31,24,50,30,57
2021-11-01,3,51,16,31
2021-11-02,6,36,29,32
2021-11-03,15,32,18,43
2021-11-04,19,40,18,20
2021-11-05,62,46,16,46
2021-11-06,174,34,33,59
2021-11-07,75,44,26,39
2021-11-08,6,40,14,29
2021-11-09,11,30,17,33
2021-11-10,10,52,10,53
2021-11-11,6,36,28,27
2021-11-12,15,68,21,55
2021-11-13,11,35,20,33
2021-11-14,30,90,34,74
2021-11-15,5,56,162,32
2021-11-16,8,37,74,55
2021-11-17,20,88,63,54
2021-11-18,12,37,30,46
2021-11-19,9,43,24,46
2021-11-20,19,32,21,45
2021-11-21,15,37,27,53
2021-11-22,4,29,7,31
2021-11-23,2,34,29,49
2021-11-24,12,56,14,41
2021-11-25,8,48,25,53
2021-11-26,12,42,12,66
2021-11-27,7,40,16,66
2021-11-28,9,30,10,66
2021-11-29,6,16,12,22
2021-11-30,5,31,11,45
2021-12-01,11,151,25,66
2021-12-02,13,85,15,49
2021-12-03,4,58,14,58
2021-12-04,24,41,24,56
2021-12-05,20,77,32,49
2021-12-06,2,13,9,41
2021-12-07,4,19,15,42
2021-12-08,17,21,10,45
2021-12-09,11,26,18,63
2021-12-10,15,27,18,65
2021-12-11,20,16,26,44
2021-12-12,21,36,21,57
2021-12-13,12,17,8,36
2021-12-14,4,11,22,50
2021-12-15,25,22,32,83
2021-12-16,10,30,15,43
2021-12-17,3,37,14,69
2021-12-18,22,28,36,55
2021-12-19,30,25,15,65
2021-12-20,15,20,31,39
2021-12-21,7,20,30,57
2021-12-22,18,28,31,66
2021-12-23,9,19,16,43
2021-12-24,9,39,22,43
2021-12-25,14,10,26,36
2021-12-26,12,18,44,49
2021-12-27,12,19,21,54
2021-12-28,2,5,27,41
2021-12-29,23,24,35,63
2021-12-30,8,24,19,40
2021-12-31,4,10,32,56
2022-01-01,3,16,14,44
2022-01-02,15,7,62,94
2022-01-03,12,5,26,38
2022-01-04,15,25,27,44
2022-01-05,15,16,36,58
2022-01-06,10,15,17,53
2022-01-07,11,33,62,78
2022-01-08,10,12,63,53
2022-01-09,20,3,48,97
2022-01-10,14,7,55,40
2022-01-11,12,3,47,39
2022-01-12,14,13,38,45
2022-01-13,28,10,17,29
2022-01-14,23,34,35,51
2022-01-15,20,20,32,57
2022-01-16,24,14,35,72
2022-01-17,10,9,21,51
2022-01-18,8,17,27,37
2022-01-19,19,19,15,40
2022-01-20,18,25,19,24
2022-01-21,20,5,24,44
2022-01-22,19,12,17,21
2022-01-23,24,25,36,54
2022-01-24,16,12,24,40
2022-01-25,3,13,12,26
2022-01-26,7,21,20,34
2022-01-27,9,13,11,32
2022-01-28,12,13,13,36
2022-01-29,13,12,12,29
2022-01-30,16,11,15,50
2022-01-31,1,12,1,24
2022-02-01,2,7,22,14
2022-02-02,3,24,19,38
2022-02-03,2,9,16,31
2022-02-04,8,6,13,28
2022-02-05,7,5,29,24
2022-02-06,14,30,55,61
2022-02-07,3,23,23,33
2022-02-08,8,6,41,39
2022-02-09,2,16,30,36
2022-02-10,3,28,38,50
2022-02-11,3,18,51,39
2022-02-12,8,13,35,41
2022-02-13,3,15,95,53
2022-02-14,3,15,84,10
2022-02-15,1,8,87,31
2022-02-16,3,20,115,52
2022-02-17,8,11,120,38
2022-02-18,4,11,99,33
2022-02-19,4,5,167,26
2022-02-20,3,10,113,47
2022-02-21,2,8,103,33
2022-02-22,3,2,142,31
2022-02-23,3,18,127,33
2022-02-24,0,12,100,31
2022-02-25,3,9,96,18
2022-02-26,2,3,69,21
2022-02-27,1,8,140,26
2022-02-28,1,0,72,15
2022-03-01,0,2,81,27
2022-03-02,3,21,115,45
2022-03-03,1,25,70,50
2022-03-04,4,2,108,39
2022-03-05,6,11,84,22
2022-03-06,4,11,101,45
2022-03-07,1,10,26,28
2022-03-08,0,5,30,18
2022-03-09,4,15,64,57
2022-03-10,0,14,76,42
2022-03-11,2,14,36,46
2022-03-12,4,2,16,37
2022-03-13,0,9,24,40
2022-03-14,2,9,29,29
2022-03-15,1,5,45,30
2022-03-16,5,9,49,38
2022-03-17,2,5,39,28
2022-03-18,1,17,33,36
2022-03-19,2,19,31,30
2022-03-20,2,5,38,50
2022-03-21,1,5,37,25
2022-03-22,0,2,25,17
2022-03-23,3,6,52,31
2022-03-24,1,10,52,13
2022-03-25,1,8,41,37
2022-03-26,2,4,27,21
2022-03-27,4,5,43,32
2022-03-28,2,6,23,17
2022-03-29,0,0,20,22
2022-03-30,5,7,37,22
2022-03-31,18,9,42,85
2022-04-01,7,27,44,32
2022-04-02,2,13,22,35
2022-04-03,11,12,28,25
2022-04-04,14,14,30,26
2022-04-05,2,12,15,13
2022-04-06,5,16,29,29
2022-04-07,31,13,48,32
2022-04-08,13,13,23,46
2022-04-09,3,13,19,39
2022-04-10,6,18,20,29
2022-04-11,3,17,17,18
2022-04-12,4,7,20,24
2022-04-13,5,26,50,21
2022-04-14,5,16,24,25
2022-04-15,8,10,33,24
2022-04-16,4,5,29,20
2022-04-17,3,24,31,32
2022-04-18,8,11,26,18
2022-04-19,0,8,16,21
2022-04-20,6,16,46,42
2022-04-21,13,12,49,23
2022-04-22,17,18,27,28
2022-04-23,11,24,10,20
2022-04-24,10,11,11,51
2022-04-25,19,9,19,29
2022-04-26,8,4,14,37
2022-04-27,19,14,45,49
2022-04-28,14,16,32,29
2022-04-29,12,32,28,44
2022-04-30,13,32,18,42
2022-05-01,9,52,15,45
2022-05-02,13,47,26,14
2022-05-03,14,65,27,19
2022-05-04,19,84,24,20
2022-05-05,21,52,68,36
2022-05-06,19,112,46,22
2022-05-07,10,100,23,33
2022-05-08,31,98,58,40
2022-05-09,27,77,16,28
2022-05-10,25,51,57,44
2022-05-11,36,102,107,42
2022-05-12,45,90,140,68
2022-05-13,86,135,61,53
2022-05-14,91,113,22,53
2022-05-15,193,149,69,54
2022-05-16,185,123,34,48
2022-05-17,212,75,39,32
2022-05-18,354,104,38,66
2022-05-19,623,141,60,57
2022-05-20,430,126,126,52
2022-05-21,368,103,12,46
2022-05-22,476,130,104,76
2022-05-23,495,150,138,46
